SAFE 0xfff faults 0 on /dev/ttyACM0
channel  raw_avg  raw_min  raw_max  millivolts
      0  1285.73     1281     1292     1035.83
      1  1146.21     1138     1157      923.42
      2  1128.74     1085     1139      909.41
      3  1111.07     1023     1126      895.09
      4  1088.00      979     1112      876.52
      5  1264.86     1258     1268     1019.03
      6  4095.00     4095     4095     3299.00
      7  3292.56     3287     3298     2652.61
      8  2624.74     2611     2640     2114.65
      9  2191.24     2174     2213     1765.45
     10   430.72      428      434      346.85
     11   378.40      376      381      304.97
     12   643.39      634      656      518.25
     13   740.70      709      813      596.81
     14   827.60      804      852      666.71
     15  1255.85     1251     1260     1011.85
SAFE 0xfff faults 0
Appended 16 rows to firmware/odesc-v42/diagnostics/adc-probe-2026-08-10/adc-scan.csv
